138 number of different values for Age

values   counts
18     495
19     479
20     458
21     384
23     376
22     371
24     354
26     339
25     336
27     309
28     284
29     281
30     274
31     267
32     262
37     227
34     221
33     209
35     208
36     189
38     176
39     169
40     162
43     146
44     141
41     137
45     137
42     132
46     126
47     120
50     107
49     106
48     105
51      94
52      92
57      80
54      77
55      76
59      72
60      71
56      68
53      67
61      62
63      52
58      51
65      49
66      44
62      44
68      43
64      39
77      38
67      38
70      38
74      37
73      36
69      35
71      27
75      27
72      26
78      26
83      25
80      24
79      23
88      21
76      20
92      18
93      18
82      18
86      17
85      16
90      15
84      15
95      15
101     13
81      12
97      12
94      12
87      11
96      10
100     10
99       9
89       9
91       8
107      8
103      8
113      7
102      7
108      6
98       6
123      5
105      5
114      5
109      5
115      4
134      4
117      4
121      4
124      4
106      3
116      3
120      3
104      3
139      3
131      3
111      3
144      2
112      2
155      2
127      2
130      2
119      2
158      2
150      2
126      2
118      2
141      2
129      1
128      1
142      1
110      1
157      1
149      1
125      1
148      1
217      1
160      1
184      1
132      1
179      1
163      1
143      1
147      1
178      1
170      1
146      1
138      1
122      1
151      1
